日付,件名,種別,ファイル名,配布用URL,C2サーバ
20260127,（記載なし：組織の代表を装う）,ValleyRAT,.zip > .exe（ファイル名記載なし）,,
20260130,（記載なし：組織の代表を装う）,ValleyRAT,,,
20260204,（記載なし）,ValleyRAT,.rar > .exe（ファイル名記載なし）,,
20260213,（記載なし：Chatwork招待メールを偽装）,ValleyRAT,.zip > .exe（ファイル名記載なし）,,38.246.251[.]131:6666
20260318,（記載なし）,ValleyRAT,.iso > .exe（サイドローディング）,hxxps://gofile[.]io/d/nUieLG,103.210.238[.]29:22011
20260319,<役員名>,ValleyRAT,データレポート.rar > .exe + サイドローディング,hxxps[:]//wwwasdfsafsafas-1393918816.cos.ap-hongkong.myqcloud[.]com/データレポート.rar,43[.]134[.]7[.]102
20260401,【重要通知】賞与に関する新着情報があります,ValleyRAT,.zip > .exe + libcef.dll（サイドローディング）,,"198.44.170[.]58 ／ xjvbn[.]com, ljowqjd[.]cn（役割の記載なし）"
20260425,給与および職位名称改定に関する確認の徹底について（重要）,ValleyRAT,給与および職位改定ならびに給与明細ダウンロードのご案内.gz > 20260422184418.exe + PDFCORE8.dll,"hxxps[:]//yindd[.]top/給与および職位改定ならびに給与明細ダウンロードのご案内.gz（添付docからリンク）／2次: hxxps[://]ufeovssir[.]cc:443/20260422184418[.]exe, /PDFCORE8[.]dll","yscf988[.]club (223[.]26[.]62[.]116:7880, 7881)"
20260611,[組織名],ValleyRAT,20260610105308_A07CE5BA525EBBCCF73.zip > .cmd > MicrosoftEdgeUpdate.exe + PDFCore8.dll,hxxps[:]//hrxjp[.]vip/er0L ／2次: hxxps[://]laonashijie-1433552157[.]cos[.]ap-hongkong[.]myqcloud[.]com/,"43.128.26[.]132:778, 779"
20260613,電子請求書明細書,ValleyRAT,20260611121147_A054ED7FCEE0EA7D5A8.zip > .com > MicrosoftEdgeUpdate.exe + pdfcore8.dll,hrxjp[.]vip/er0L ／2次: hxxps[:]//faipa[.]vip/,"43.128.26[.]132:778, 779"
