"event_key","dimension","raw_value","normalized_value","confidence","note"
"2026-04_marimo_rce_cve_2026_39987","initial_access","unauthenticated WebSocket endpoint exploitation","exploit_public_facing_app","high","公開WebSocketエンドポイント/terminal/wsを認証なしで悪用"
"2026-04_marimo_rce_cve_2026_39987","actor_attribution","unknown threat actor","unknown","high","攻撃者情報はIPアドレスのみ、帰属不明"
"2026-04_marimo_rce_cve_2026_39987","product_class","Marimo notebook","unknown","high","Marimoはtaxonomy外のカテゴリ"
"2026-04_rockstar_anodot_snowflake_breach","initial_access","stolen authentication tokens via Anodot breach","stolen_credentials","high","Anodotから盗んだ認証トークンでSnowflake環境へアクセス"
"2026-04_rockstar_anodot_snowflake_breach","actor_attribution","ShinyHunters extortion group","cybercrime","high","ShinyHuntersとしてsourceに明示"
"2026-04_rockstar_anodot_snowflake_breach","product_class","Snowflake / Anodot SaaS","unknown","high","クラウドSaaSはtaxonomy外"
"2026-04_wolfssl_cve_2026_5194","initial_access","not applicable - library vulnerability","not_applicable","high","ライブラリの脆弱性で初期アクセス手法は該当なし"
"2026-04_wolfssl_cve_2026_5194","actor_attribution","unknown","unknown","high","攻撃者情報なし"
"2026-04_wolfssl_cve_2026_5194","product_class","embedded/IoT/wolfSSL library","unknown","high","組み込みライブラリはtaxonomy外"
"2026-04_w3ll_phishing_takedown","initial_access","AiTM phishing kit W3LL","phishing","high","W3LLはAiTM型フィッシングキット"
"2026-04_w3ll_phishing_takedown","actor_attribution","W3LL cybercrime operator","cybercrime","high","金銭目的のサイバー犯罪者として記載"
"2026-04_openai_axios_supply_chain_cert","initial_access","malicious npm package Axios 1.14.1","supply_chain","high","改ざん版Axiosパッケージ経由"
"2026-04_openai_axios_supply_chain_cert","actor_attribution","UNC1069 (North Korean threat actor)","nation_state","medium","北朝鮮系UNC1069との関連はsource中に指摘あり、確定ではない"
"2026-04_openai_axios_supply_chain_cert","product_class","Axios npm package","package_ecosystem","high","npmエコシステム経由のサプライチェーン"
"2026-04_booking_com_data_breach","initial_access","unknown","unknown","high","侵入経路は記事中に明示なし"
"2026-04_booking_com_data_breach","actor_attribution","unknown third party","unknown","high","攻撃者属性不明"
"2026-04_adobe_acrobat_zeroday_cve_2026_34621","initial_access","malicious PDF via email/web","phishing","medium","細工されたPDFを開かせるフィッシング手口と推定"
"2026-04_adobe_acrobat_zeroday_cve_2026_34621","actor_attribution","unknown","unknown","high","攻撃者情報はsource中に明示なし"
"2026-04_adobe_acrobat_zeroday_cve_2026_34621","product_class","Adobe Acrobat/Reader","unknown","high","PDFリーダーはtaxonomy外"
"2026-04_apt41_winnti_elf_cloud_harvester","initial_access","unknown initial access to Linux cloud workloads","unknown","medium","記事中に初期侵入手法の明示なし"
"2026-04_apt41_winnti_elf_cloud_harvester","actor_attribution","APT41 / Winnti (Chinese nation-state)","nation_state","high","Breakglass Intelligence がHIGH信頼度でAPT41に帰属"
"2026-04_apt41_winnti_elf_cloud_harvester","product_class","Linux cloud workloads","unknown","high","クラウドLinux環境はtaxonomy外"
"2026-04_fake_claude_plugx_campaign","initial_access","fake download site / trojanized installer","phishing","high","偽サイトから悪性ZIPをダウンロードさせる"
"2026-04_fake_claude_plugx_campaign","actor_attribution","unknown (PlugX historically Chinese APT)","unknown","medium","PlugXは中国APT関連だがコードが流通しており帰属断定できない"
"2026-04_jp_malspam_nenkin_screenconnect","initial_access","malspam with PDF lure leading to ZIP","malspam","high","日本語マルスパム経由で配布"
"2026-04_jp_malspam_nenkin_screenconnect","actor_attribution","unknown","unknown","high","攻撃者情報なし"
"2026-04_jp_malspam_nenkin_screenconnect","product_class","remote access software ScreenConnect","remote_access","high","ScreenConnectはリモートアクセスツール"
"2026-04_win10_patch_tuesday_kb5082200","initial_access","not applicable","not_applicable","high","パッチ配布情報のためinitial_access非該当"
"2026-04_win10_patch_tuesday_kb5082200","product_class","Windows 10","os","high","OS向けのセキュリティ更新"
"2026-04_mcgraw_hill_salesforce_breach","initial_access","Salesforce misconfiguration exploitation","exploit_public_facing_app","high","Salesforce設定不備の悪用"
"2026-04_mcgraw_hill_salesforce_breach","actor_attribution","ShinyHunters","cybercrime","high","ShinyHuntersとして明示"
"2026-04_mcgraw_hill_salesforce_breach","product_class","Salesforce CRM","unknown","high","SaaSプラットフォームはtaxonomy外"
"2026-04_fake_ledger_live_appstore_theft","initial_access","fake app on App Store / seed phrase theft","phishing","high","偽アプリで認証情報(シードフレーズ)を窃取"
"2026-04_fake_ledger_live_appstore_theft","actor_attribution","unknown cybercrime actor","cybercrime","medium","明示的な属性情報なし、金銭目的から推定"
"2026-04_basic_fit_data_breach","initial_access","unknown","unknown","high","侵入経路は記事中に明示なし"
"2026-04_basic_fit_data_breach","actor_attribution","unknown","unknown","high","攻撃者情報なし"
"2026-04_chrome_ext_cloudapi_stream_c2","initial_access","malicious browser extension install","malicious_update","high","悪性Chrome拡張のインストール経由"
"2026-04_chrome_ext_cloudapi_stream_c2","actor_attribution","unknown MaaS operator","cybercrime","medium","MaaS基盤の運営者、詳細な属性不明"
"2026-04_chrome_ext_cloudapi_stream_c2","product_class","Chrome browser extension","browser","high","ブラウザ拡張機能"
"2026-04_bitter_hack_for_hire_mena","initial_access","spearphishing and fake app distribution","phishing","high","スピアフィッシングと偽APK配布"
"2026-04_bitter_hack_for_hire_mena","actor_attribution","BITTER APT (South Asian hack-for-hire)","nation_state","medium","南アジア系BITTERとの関連がmedium確度で評価"
"2026-04_clickfix_maas_nodejsrat","initial_access","fake CAPTCHA / ClickFix lure","phishing","high","偽CAPTCHAページへの誘導"
"2026-04_clickfix_maas_nodejsrat","actor_attribution","unknown cybercrime / MaaS operator","cybercrime","medium","複数オペレーター対応のMaaS基盤"
"2026-04_ex_blackbasta_exec_targeting","initial_access","email bombing + Teams fake helpdesk vishing","phishing","high","メール爆撃後にTeams偽ヘルプデスクで誘導"
