dimension,normalized_value,label_ja,label_en,description,parent_value,active,sort_order
event_type,active_exploitation,悪用確認済み,Active Exploitation,実環境での悪用が報告されている事象,,true,10
event_type,incident,インシデント,Incident,侵害・漏えい・恐喝・不正アクセスなどの事象,,true,20
event_type,supply_chain,サプライチェーン,Supply Chain,依存関係・更新経路・委託先・所有者変更など信頼関係を悪用した事象,,true,30
event_type,malware_campaign,マルウェアキャンペーン,Malware Campaign,マルウェア配布・感染・C2などを中心とする事象,,true,40
event_type,vulnerability_advisory,脆弱性注意喚起,Vulnerability Advisory,脆弱性公開・パッチ・悪用注意喚起,,true,50
event_type,cybercrime_trend,犯罪手口トレンド,Cybercrime Trend,詐欺・恐喝・PhaaS・RaaSなど犯罪手口の傾向,,true,60
event_type,security_research,調査レポート,Security Research,攻撃面・設計問題・インフラ分析などの調査報告,,true,70
event_type,takedown,摘発・停止措置,Takedown,犯罪インフラ・ボットネット・マーケットなどの摘発や停止措置,,true,80
event_type,tool_release,ツール・機能,Tool Release,防御ツール・検出機能・セキュリティ機能などの公開,,true,90

initial_access,exploit_public_facing_app,公開アプリ悪用,Exploit Public-Facing Application,インターネット公開アプリやサービスの脆弱性悪用,,true,10
initial_access,phishing,フィッシング,Phishing,リンク・添付・偽サイトなどで利用者を誘導する入口,,true,20
initial_access,malspam,マルスパム,Malspam,悪性メール配布を入口とする攻撃,,true,30
initial_access,supply_chain,サプライチェーン,Supply Chain,依存関係・パッケージ・更新経路・委託先などの信頼関係悪用,,true,40
initial_access,malicious_update,悪性更新,Malicious Update,正規または正規風の更新経路を悪用した配布や侵入,,true,50
initial_access,stolen_credentials,窃取認証情報,Stolen Credentials,盗まれたID・パスワード・認証情報による侵入,,true,60
initial_access,stolen_token,窃取トークン,Stolen Token,盗まれたOAuthトークン・APIキー・セッショントークンによる侵入,,true,70
initial_access,insider_abuse,内部者悪用,Insider Abuse,従業員・委託先・内部権限の悪用,,true,80
initial_access,exposed_remote_service,公開リモートサービス,Exposed Remote Service,公開されたRDP・VPN・管理インターフェースなどの悪用,,true,90
initial_access,drive_by_download,ドライブバイダウンロード,Drive-by Download,閲覧や誘導により利用者端末へ悪性コードを配布する入口,,true,100
initial_access,unknown,不明,Unknown,source から初期アクセスが判断できない場合,,true,900
initial_access,not_applicable,該当なし,Not Applicable,初期アクセスとして評価しない事象,,true,999

actor,unknown,不明,Unknown,固有アクター名が不明,,true,900
actor,not_applicable,該当なし,Not Applicable,アクター名で整理しない事象,,true,999

actor_attribution,cybercrime,サイバー犯罪,Cybercrime,金銭目的の犯罪エコシステムまたは犯罪グループ,,true,10
actor_attribution,nation_state,国家支援系,Nation State,国家支援または国家目的とされる活動,,true,20
actor_attribution,hacktivist,ハクティビスト,Hacktivist,政治的・社会的主張を目的とする活動,,true,30
actor_attribution,insider,内部者,Insider,内部者または内部権限の悪用,,true,40
actor_attribution,hack_for_hire,ハックフォーハイア,Hack-for-Hire,請負型の侵害活動や商業スパイウェア的な活動,,true,50
actor_attribution,security_researcher,セキュリティ研究者,Security Researcher,研究・検証・PoC公開などを目的とする主体,,true,60
actor_attribution,unknown,不明,Unknown,source から帰属大分類が判断できない場合,,true,900
actor_attribution,not_applicable,該当なし,Not Applicable,アクター帰属として評価しない事象,,true,999

malware,unknown,不明,Unknown,マルウェア名が不明,,true,900
malware,not_applicable,該当なし,Not Applicable,マルウェアで整理しない事象,,true,999

product,unknown,不明,Unknown,製品名が不明,,true,900
product,not_applicable,該当なし,Not Applicable,製品名で整理しない事象,,true,999

product_class,os,OS,Operating System,Windows・Linux・macOS・AndroidなどOS本体,,true,10
product_class,cms,CMS,CMS,コンテンツ管理システム,,true,20
product_class,wordpress_plugin,WordPressプラグイン,WordPress Plugin,WordPressの拡張プラグイン,,true,30
product_class,collaboration_platform,コラボ基盤,Collaboration Platform,Teams・SharePoint・Webexなどの情報共有や会議基盤,,true,40
