ioc_type,ioc_value,date,category,actor,actor_attribute,malware,malware_type,reference,description,author,confidence
url,https://kabereonjp.pages.dev,2026-08-25,phishing-site,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2092189322523091071,AI generated. Cloudflare Pages download link used in a Japanese-language malspam mail delivering a ZIP.,AI agent,medium
file_hash_sha256,320763f4ac63a15f2a9b690c1d7adc753c3d8665b1371578f80a25417673ec95,2026-08-25,related-file,unknown,unknown,ValleyRAT,RAT,https://tria.ge/260825-lnvnxsgn41/behavioral1,AI generated. SHA256 of the delivered archive em_2026082302001.zip analysed as ValleyRAT.,AI agent,medium
file_hash_sha256,bdadca3a7919eab3c427646c213188075643a9f66a3e8650949d0f0e3d66f8c5,2026-08-25,related-file,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2092189322523091071,AI generated. SHA256 of the disk image I.T.R.Number-20260824231719.IMG extracted from the ZIP.,AI agent,medium
file_hash_sha256,b2ee510d0b5012487dee143b459e4e2fcfb758960d3fe7ec4743552bc91be9e2,2026-08-25,abusefile,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2092189322523091071,AI generated. SHA256 of the executable used to side-load the malicious DLL from the mounted image.,AI agent,medium
file_hash_sha256,53d7e3c7be67f0c0b2513df889c5d0b516a92b4ea0ee9f01fcc022195c75508b,2026-08-25,malware,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2092189322523091071,"AI generated. SHA256 of arphADump.dll, the ValleyRAT payload side-loaded from the mounted image.",AI agent,medium
domain,fshsjlk.cc,2026-08-25,c2,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2092189322523091071,AI generated. C2 domain contacted by the ValleyRAT payload on ports 8856 and 8868.,AI agent,medium
ip,121.127.253.206,2026-08-25,c2,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2092189322523091071,AI generated. C2 IP address resolved for the ValleyRAT C2 domain on ports 8856 and 8868.,AI agent,medium
url,https://dnbwr-rtw4u.pages.dev,2026-08-25,phishing-site,unknown,unknown,ValleyRAT,RAT,https://x.com/bomccss/status/2092185418280415565,AI generated. Cloudflare Pages download link used by a related malspam wave of the same cluster.,AI agent,medium
file_hash_sha256,1ccf5cf0824772ff5ddbf3e58e6a49c4fc426bfa6829d8a21d4eddd9426b0a78,2026-08-25,related-file,unknown,unknown,ValleyRAT,RAT,https://x.com/tdatwja/status/2092165335088783857,AI generated. SHA256 of the disk image Open_to_view_eb60.img from a sample of the same delivery pattern.,AI agent,medium
file_hash_sha256,de0b9b6656c9e9fc9db4271610a09c2ae27d07c5a4757e94b2e0314a9dda6ee4,2026-08-25,abusefile,unknown,unknown,ValleyRAT,RAT,https://x.com/tdatwja/status/2092165335088783857,AI generated. SHA256 of Open_to_view.exe used to side-load the malicious winhttp.dll.,AI agent,medium
